role_original,role_cleaned,role_category,role_subcategory,position_group,position_subgroup
Offensive Backfield Coach,offensive backfield coach,Position Coach - Offense,Running Backs Coach,RB,
Offensive Backs,offensive backs,Position Coach - Offense,Running Backs Coach,RB,
Offensive backs,offensive backs,Position Coach - Offense,Running Backs Coach,RB,
Offensive quality control/assistant running backs,offensive quality control/assistant running backs,Position Coach - Offense,Running Backs Coach,RB,
Offensive quality control/running backs,offensive quality control/running backs,Position Coach - Offense,Running Backs Coach,RB,
Qffensive Backfield / Receivers Coach,qffensive backfield / receivers coach,Position Coach - Offense,Running Backs Coach,RB,
Quality Control / Qurterbacks Coach,quality control / qurterbacks coach,Position Coach - Offense,Running Backs Coach,RB,
Running backs,running backs,Position Coach - Offense,Running Backs Coach,RB,
Running Backs,running backs,Position Coach - Offense,Running Backs Coach,RB,
Running Backs / Special Teams coach,running backs / special teams coach,Position Coach - Offense,Running Backs Coach,RB,
Running backs coach,running backs coach,Position Coach - Offense,Running Backs Coach,RB,
Running backs/assistant special teams,running backs/assistant special teams,Position Coach - Offense,Running Backs Coach,RB,
Running backs/kick returners,running backs/kick returners,Position Coach - Offense,Running Backs Coach,RB,
Secondary (Cornerbacks),secondary (cornerbacks),Position Coach - Offense,Running Backs Coach,RB,
Secondary/cornerbacks,secondary/cornerbacks,Position Coach - Offense,Running Backs Coach,RB,
Senior assistant/running backs,senior assistant/running backs,Position Coach - Offense,Running Backs Coach,RB,
Senior offensive assistant/running backs,senior offensive assistant/running backs,Position Coach - Offense,Running Backs Coach,RB,
Assistant director of football administration and technology,assistant director of football administration and technology,Position Coach - Offense,Tight Ends Coach,TE,
Assistant director of football research and strategy,assistant director of football research and strategy,Position Coach - Offense,Tight Ends Coach,TE,
Assistant director of football strategy,assistant director of football strategy,Position Coach - Offense,Tight Ends Coach,TE,
Assistant director of pro scouting/team advances,assistant director of pro scouting/team advances,Position Coach - Offense,Tight Ends Coach,TE,
Assistant director/Collegiate Scouting,assistant director/collegiate scouting,Position Coach - Offense,Tight Ends Coach,TE,
Assistant director/collegiate scouting,assistant director/collegiate scouting,Position Coach - Offense,Tight Ends Coach,TE,
Assistant editor/website,assistant editor/website,Position Coach - Offense,Tight Ends Coach,TE,
"Assistant general manager, strategy","assistant general manager, strategy",Position Coach - Offense,Tight Ends Coach,TE,
Assistant Offensive Line/Tight Ends,assistant offensive line/tight ends,Position Coach - Offense,Tight Ends Coach,TE,
Assistant offensive line/tight ends,assistant offensive line/tight ends,Position Coach - Offense,Tight Ends Coach,TE,
Assistant offensive line/Tight Ends,assistant offensive line/tight ends,Position Coach - Offense,Tight Ends Coach,TE,
Assistant offensive line/tight ends/run game,assistant offensive line/tight ends/run game,Position Coach - Offense,Tight Ends Coach,TE,
Assistant special teams,assistant special teams,Position Coach - Offense,Tight Ends Coach,TE,
Assistant Special Teams,assistant special teams,Position Coach - Offense,Tight Ends Coach,TE,
Assistant special teams coach,assistant special teams coach,Position Coach - Offense,Tight Ends Coach,TE,
Assistant Special teams coach,assistant special teams coach,Position Coach - Offense,Tight Ends Coach,TE,
Assistant special teams/assistant director of player development,assistant special teams/assistant director of player development,Position Coach - Offense,Tight Ends Coach,TE,
Assistant special teams/assistant linebackers,assistant special teams/assistant linebackers,Position Coach - Offense,Tight Ends Coach,TE,
Assistant special teams/assistant strength and conditioning,assistant special teams/assistant strength and conditioning,Position Coach - Offense,Tight Ends Coach,TE,
Assistant special teams/kickers,assistant special teams/kickers,Position Coach - Offense,Tight Ends Coach,TE,
Assistant special teams/linebackers assistant,assistant special teams/linebackers assistant,Position Coach - Offense,Tight Ends Coach,TE,
Assistant special teams/nickelbacks,assistant special teams/nickelbacks,Position Coach - Offense,Tight Ends Coach,TE,
Assistant special teams/offense,assistant special teams/offense,Position Coach - Offense,Tight Ends Coach,TE,
Assistant special teams/offensive assistant,assistant special teams/offensive assistant,Position Coach - Offense,Tight Ends Coach,TE,
Assistant special teams/quality control,assistant special teams/quality control,Position Coach - Offense,Tight Ends Coach,TE,
Assistant special teams/secondary,assistant special teams/secondary,Position Coach - Offense,Tight Ends Coach,TE,
Assistant special teams/strength and conditioning,assistant special teams/strength and conditioning,Position Coach - Offense,Tight Ends Coach,TE,
Assistant tight ends,assistant tight ends,Position Coach - Offense,Tight Ends Coach,TE,
Assistant Tight Ends Coach,assistant tight ends coach,Position Coach - Offense,Tight Ends Coach,TE,
Assistant tight ends/assistant special teams,assistant tight ends/assistant special teams,Position Coach - Offense,Tight Ends Coach,TE,
Assistant tight ends/offensive line,assistant tight ends/offensive line,Position Coach - Offense,Tight Ends Coach,TE,
Assistant tight ends/offensive quality control,assistant tight ends/offensive quality control,Position Coach - Offense,Tight Ends Coach,TE,
Assistant wide receivers/tight ends,assistant wide receivers/tight ends,Position Coach - Offense,Tight Ends Coach,TE,
Bob Ledbetter,bob ledbetter,Position Coach - Offense,Tight Ends Coach,TE,
Chairwoman/trustee,chairwoman/trustee,Position Coach - Offense,Tight Ends Coach,TE,
Chief football strategy officer,chief football strategy officer,Position Coach - Offense,Tight Ends Coach,TE,
Chief Football Strategy Officer,chief football strategy officer,Position Coach - Offense,Tight Ends Coach,TE,
Chief strategy officer,chief strategy officer,Position Coach - Offense,Tight Ends Coach,TE,
Chief strategy officer/Executive Vice President of Football Operations,chief strategy officer/executive vice president of football operations,Position Coach - Offense,Tight Ends Coach,TE,
Co–director of pro scouting/team advances,co-director of pro scouting/team advances,Position Coach - Offense,Tight Ends Coach,TE,
Coaching intern,coaching intern,Position Coach - Offense,Tight Ends Coach,TE,
Coaching intern/offense,coaching intern/offense,Position Coach - Offense,Tight Ends Coach,TE,
Coaching intern/outside linebackers,coaching intern/outside linebackers,Position Coach - Offense,Tight Ends Coach,TE,
Computer & special teams,computer & special teams,Position Coach - Offense,Tight Ends Coach,TE,
Computer coordinator,computer coordinator,Position Coach - Offense,Tight Ends Coach,TE,
Computer director,computer director,Position Coach - Offense,Tight Ends Coach,TE,
Corporate Assistant to the President,corporate assistant to the president,Position Coach - Offense,Tight Ends Coach,TE,
Corporate assistant to the president,corporate assistant to the president,Position Coach - Offense,Tight Ends Coach,TE,
Corporate General Manager,corporate general manager,Position Coach - Offense,Tight Ends Coach,TE,
Defense and special teams assistant,defense and special teams assistant,Position Coach - Offense,Tight Ends Coach,TE,
Director of College Scouting (Eastern Region),director of college scouting (eastern region),Position Coach - Offense,Tight Ends Coach,TE,
Director of College Scouting (Western Region),director of college scouting (western region),Position Coach - Offense,Tight Ends Coach,TE,
Director of football administration and technology,director of football administration and technology,Position Coach - Offense,Tight Ends Coach,TE,
Director of football information systems,director of football information systems,Position Coach - Offense,Tight Ends Coach,TE,
Director of football research & strategy,director of football research & strategy,Position Coach - Offense,Tight Ends Coach,TE,
Director of football strategy,director of football strategy,Position Coach - Offense,Tight Ends Coach,TE,
Director of football systems,director of football systems,Position Coach - Offense,Tight Ends Coach,TE,
Director of Football Technology and Analytics,director of football technology and analytics,Position Coach - Offense,Tight Ends Coach,TE,
Director of performance psychology/team behavioral health clinician,director of performance psychology/team behavioral health clinician,Position Coach - Offense,Tight Ends Coach,TE,
Director of player personnel strategy,director of player personnel strategy,Position Coach - Offense,Tight Ends Coach,TE,
Director of research & strategy,director of research & strategy,Position Coach - Offense,Tight Ends Coach,TE,
Director of research and strategy,director of research and strategy,Position Coach - Offense,Tight Ends Coach,TE,
Director of roster management,director of roster management,Position Coach - Offense,Tight Ends Coach,TE,
Director of scouting administration/strategic management,director of scouting administration/strategic management,Position Coach - Offense,Tight Ends Coach,TE,
Director of scouting strategy,director of scouting strategy,Position Coach - Offense,Tight Ends Coach,TE,
Director of strategic football operations,director of strategic football operations,Position Coach - Offense,Tight Ends Coach,TE,
Director of team administration,director of team administration,Position Coach - Offense,Tight Ends Coach,TE,
Director of Team Administration,director of team administration,Position Coach - Offense,Tight Ends Coach,TE,
Director of team development,director of team development,Position Coach - Offense,Tight Ends Coach,TE,
Director of team operations,director of team operations,Position Coach - Offense,Tight Ends Coach,TE,
Director of team travel & football logistics,director of team travel & football logistics,Position Coach - Offense,Tight Ends Coach,TE,
Director of team travel and logistics,director of team travel and logistics,Position Coach - Offense,Tight Ends Coach,TE,
"Director, football analytics and strategy","director, football analytics and strategy",Position Coach - Offense,Tight Ends Coach,TE,
"Director, football research & strategy","director, football research & strategy",Position Coach - Offense,Tight Ends Coach,TE,
"Director, football strategy","director, football strategy",Position Coach - Offense,Tight Ends Coach,TE,
"Director, Game Management and Strategic Initiatives","director, game management and strategic initiatives",Position Coach - Offense,Tight Ends Coach,TE,
"Director, research & strategy","director, research & strategy",Position Coach - Offense,Tight Ends Coach,TE,
"Director, scouting, strategy & analytics","director, scouting, strategy & analytics",Position Coach - Offense,Tight Ends Coach,TE,
Eastern region director of college scouting,eastern region director of college scouting,Position Coach - Offense,Tight Ends Coach,TE,
Entertainment manager,entertainment manager,Position Coach - Offense,Tight Ends Coach,TE,
Executive committee,executive committee,Position Coach - Offense,Tight Ends Coach,TE,
Executive vice–president of Team Development,executive vice-president of team development,Position Coach - Offense,Tight Ends Coach,TE,
