role_original,role_cleaned,role_category,role_subcategory,position_group,position_subgroup
Interim head coach/defensive coordinator,interim head coach/defensive coordinator,Coordinator,Defensive Coordinator,,
Cornerbacks/defensive passing game coordinator,cornerbacks/defensive passing game coordinator,Coordinator,Defensive Passing Game Coordinator,,
Defensive backs/pass game coordinator,defensive backs/pass game coordinator,Coordinator,Defensive Passing Game Coordinator,,
Defensive backs/passing game coordinator,defensive backs/passing game coordinator,Coordinator,Defensive Passing Game Coordinator,,
Defensive pass game coordinator,defensive pass game coordinator,Coordinator,Defensive Passing Game Coordinator,,
Defensive pass game coordinator/cornerbacks,defensive pass game coordinator/cornerbacks,Coordinator,Defensive Passing Game Coordinator,,
Defensive pass game coordinator/defensive backs,defensive pass game coordinator/defensive backs,Coordinator,Defensive Passing Game Coordinator,,
Defensive pass game coordinator/secondary,defensive pass game coordinator/secondary,Coordinator,Defensive Passing Game Coordinator,,
Defensive Passing Game Coordinator,defensive passing game coordinator,Coordinator,Defensive Passing Game Coordinator,,
Defensive passing game coordinator,defensive passing game coordinator,Coordinator,Defensive Passing Game Coordinator,,
Defensive passing game coordinator/defensive backs,defensive passing game coordinator/defensive backs,Coordinator,Defensive Passing Game Coordinator,,
Defensive passing game coordinator/safeties,defensive passing game coordinator/safeties,Coordinator,Defensive Passing Game Coordinator,,
Defensive passing game coordinator/secondary,defensive passing game coordinator/secondary,Coordinator,Defensive Passing Game Coordinator,,
Defensive passing game coordinator/senior assistant,defensive passing game coordinator/senior assistant,Coordinator,Defensive Passing Game Coordinator,,
Linebackers/pass game coordinator,linebackers/pass game coordinator,Coordinator,Defensive Passing Game Coordinator,,
Pass game coordinator/defensive backs,pass game coordinator/defensive backs,Coordinator,Defensive Passing Game Coordinator,,
Pass game coordinator/inside linebackers,pass game coordinator/inside linebackers,Coordinator,Defensive Passing Game Coordinator,,
Pass game coordinator/inside linebackers coach,pass game coordinator/inside linebackers coach,Coordinator,Defensive Passing Game Coordinator,,
Pass game coordinator/Secondary,pass game coordinator/secondary,Coordinator,Defensive Passing Game Coordinator,,
Pass game coordinator/secondary,pass game coordinator/secondary,Coordinator,Defensive Passing Game Coordinator,,
Passing game coordinator/defensive backs,passing game coordinator/defensive backs,Coordinator,Defensive Passing Game Coordinator,,
Passing game coordinator/secondary,passing game coordinator/secondary,Coordinator,Defensive Passing Game Coordinator,,
Secondaries/defensive pass game coordinator,secondaries/defensive pass game coordinator,Coordinator,Defensive Passing Game Coordinator,,
Secondary/defensive pass game coordinator,secondary/defensive pass game coordinator,Coordinator,Defensive Passing Game Coordinator,,
Secondary/defensive passing game coordinator,secondary/defensive passing game coordinator,Coordinator,Defensive Passing Game Coordinator,,
Defensive line/run game coordinator,defensive line/run game coordinator,Coordinator,Defensive Run Game Coordinator,,
Defensive line/running game coordinator,defensive line/running game coordinator,Coordinator,Defensive Run Game Coordinator,,
Defensive run game coordinator,defensive run game coordinator,Coordinator,Defensive Run Game Coordinator,,
Defensive run game coordinator/defensive line,defensive run game coordinator/defensive line,Coordinator,Defensive Run Game Coordinator,,
Defensive Run game coordinator/linebackers,defensive run game coordinator/linebackers,Coordinator,Defensive Run Game Coordinator,,
Linebackers/run game coordinator,linebackers/run game coordinator,Coordinator,Defensive Run Game Coordinator,,
Linebackers/running game coordinator,linebackers/running game coordinator,Coordinator,Defensive Run Game Coordinator,,
Run game coordinator/defensive line,run game coordinator/defensive line,Coordinator,Defensive Run Game Coordinator,,
Run game coordinator/defensive line coach,run game coordinator/defensive line coach,Coordinator,Defensive Run Game Coordinator,,
