role_original,role_cleaned,role_category,role_subcategory,position_group,position_subgroup,side_of_ball
Assistant special teams/strength and conditioning,assistant special teams/strength and conditioning,Position Coach - Special Teams,Special Teams Coach,ST,,Special Teams
Assistant tight ends/assistant special teams,assistant tight ends/assistant special teams,Position Coach - Special Teams,Special Teams Coach,ST,,Special Teams
Assistant wide receivers/special teams,assistant wide receivers/special teams,Position Coach - Special Teams,Special Teams Coach,ST,,Special Teams
Computer & special teams,computer & special teams,Position Coach - Special Teams,Special Teams Coach,ST,,Special Teams
Defense and special teams assistant,defense and special teams assistant,Position Coach - Special Teams,Special Teams Coach,ST,,Special Teams
Defensive line/special teams,defensive line/special teams,Position Coach - Special Teams,Special Teams Coach,ST,,Special Teams
Defensive/special teams assistant,defensive/special teams assistant,Position Coach - Special Teams,Special Teams Coach,ST,,Special Teams
Defensive/Special Teams Assistant,defensive/special teams assistant,Position Coach - Special Teams,Special Teams Coach,ST,,Special Teams
Head of Football Operations/Special Teams,head of football operations/special teams,Position Coach - Special Teams,Special Teams Coach,ST,,Special Teams
Linebackers/special teams,linebackers/special teams,Position Coach - Special Teams,Special Teams Coach,ST,,Special Teams
Linebackers/Special Teams,linebackers/special teams,Position Coach - Special Teams,Special Teams Coach,ST,,Special Teams
Offensive/special teams assistant,offensive/special teams assistant,Position Coach - Special Teams,Special Teams Coach,ST,,Special Teams
Running Backs / Special Teams coach,running backs / special teams coach,Position Coach - Special Teams,Special Teams Coach,ST,,Special Teams
Running backs/assistant special teams,running backs/assistant special teams,Position Coach - Special Teams,Special Teams Coach,ST,,Special Teams
Secondary/special teams Assistant,secondary/special teams assistant,Position Coach - Special Teams,Special Teams Coach,ST,,Special Teams
Senior assistant special teams,senior assistant special teams,Position Coach - Special Teams,Special Teams Coach,ST,,Special Teams
Senior special teams,senior special teams,Position Coach - Special Teams,Special Teams Coach,ST,,Special Teams
Senior special teams assistant,senior special teams assistant,Position Coach - Special Teams,Special Teams Coach,ST,,Special Teams
Special teams,special teams,Position Coach - Special Teams,Special Teams Coach,ST,,Special Teams
Special Teams,special teams,Position Coach - Special Teams,Special Teams Coach,ST,,Special Teams
Special teams / Assistant Offensive Line,special teams / assistant offensive line,Position Coach - Special Teams,Special Teams Coach,ST,,Special Teams
Special teams assistant,special teams assistant,Position Coach - Special Teams,Special Teams Coach,ST,,Special Teams
Special Teams Assistant,special teams assistant,Position Coach - Special Teams,Special Teams Coach,ST,,Special Teams
Special Teams Assistant Coach,special teams assistant coach,Position Coach - Special Teams,Special Teams Coach,ST,,Special Teams
Special teams assistant/assistant linebackers,special teams assistant/assistant linebackers,Position Coach - Special Teams,Special Teams Coach,ST,,Special Teams
Special teams assistant/assistant strength and conditioning,special teams assistant/assistant strength and conditioning,Position Coach - Special Teams,Special Teams Coach,ST,,Special Teams
Special teams assistant/game management specialist,special teams assistant/game management specialist,Position Coach - Special Teams,Special Teams Coach,ST,,Special Teams
Special teams assistant/special projects,special teams assistant/special projects,Position Coach - Special Teams,Special Teams Coach,ST,,Special Teams
Special teams coach,special teams coach,Position Coach - Special Teams,Special Teams Coach,ST,,Special Teams
Special Teams Coach,special teams coach,Position Coach - Special Teams,Special Teams Coach,ST,,Special Teams
Special Teams Consultant,special teams consultant,Position Coach - Special Teams,Special Teams Coach,ST,,Special Teams
Special teams consultant,special teams consultant,Position Coach - Special Teams,Special Teams Coach,ST,,Special Teams
Special teams/ Tight ends coach,special teams/ tight ends coach,Position Coach - Special Teams,Special Teams Coach,ST,,Special Teams
Special teams/assistant defensive backs,special teams/assistant defensive backs,Position Coach - Special Teams,Special Teams Coach,ST,,Special Teams
Special teams/assistant linebackers,special teams/assistant linebackers,Position Coach - Special Teams,Special Teams Coach,ST,,Special Teams
Special Teams/Linebackers,special teams/linebackers,Position Coach - Special Teams,Special Teams Coach,ST,,Special Teams
Special teams/linebackers,special teams/linebackers,Position Coach - Special Teams,Special Teams Coach,ST,,Special Teams
Special teams/outside linebackers coach,special teams/outside linebackers coach,Position Coach - Special Teams,Special Teams Coach,ST,,Special Teams
Special teams/specialist,special teams/specialist,Position Coach - Special Teams,Special Teams Coach,ST,,Special Teams
Special Teams/Tigh Ends,special teams/tigh ends,Position Coach - Special Teams,Special Teams Coach,ST,,Special Teams
Special Teams/tight ends,special teams/tight ends,Position Coach - Special Teams,Special Teams Coach,ST,,Special Teams
Special teams/tight ends,special teams/tight ends,Position Coach - Special Teams,Special Teams Coach,ST,,Special Teams
Special teams/Tight Ends,special teams/tight ends,Position Coach - Special Teams,Special Teams Coach,ST,,Special Teams
Special Teams/Tight Ends,special teams/tight ends,Position Coach - Special Teams,Special Teams Coach,ST,,Special Teams
Special teams/tight ends coach,special teams/tight ends coach,Position Coach - Special Teams,Special Teams Coach,ST,,Special Teams
Specials teams assistant,specials teams assistant,Position Coach - Special Teams,Special Teams Coach,ST,,Special Teams
Strength and conditioning/special teams assistant,strength and conditioning/special teams assistant,Position Coach - Special Teams,Special Teams Coach,ST,,Special Teams
Tight ends/assistant special teams,tight ends/assistant special teams,Position Coach - Special Teams,Special Teams Coach,ST,,Special Teams
Tight Ends/Special Teams,tight ends/special teams,Position Coach - Special Teams,Special Teams Coach,ST,,Special Teams
Administrator of college scouting,administrator of college scouting,Scouting & Personnel,Administrator - College Scouting,,,Both
Advance scouting coordinator,advance scouting coordinator,Scouting & Personnel,Advance Scouting Coordinator,,,Both
Area scout,area scout,Scouting & Personnel,Area Scout,,,Both
Area Scout,area scout,Scouting & Personnel,Area Scout,,,Both
Regional Scout,regional scout,Scouting & Personnel,Area Scout,,,Both
Assistant Director of College Personnel,assistant director of college personnel,Scouting & Personnel,Assistant Director - College Personnel,,,Both
Assistant director of college personnel,assistant director of college personnel,Scouting & Personnel,Assistant Director - College Personnel,,,Both
Assistant director of college scouting,assistant director of college scouting,Scouting & Personnel,Assistant Director - College Scouting,,,Both
Assistant Director of College Scouting,assistant director of college scouting,Scouting & Personnel,Assistant Director - College Scouting,,,Both
Associate director of college scouting,assistant director of college scouting,Scouting & Personnel,Assistant Director - College Scouting,,,Both
Assistant Director of college scouting,assistant director of college scouting,Scouting & Personnel,Assistant Director - College Scouting,,,Both
Assistant director of college scouting/national scout,assistant director of college scouting/national scout,Scouting & Personnel,Assistant Director - College Scouting,,,Both
Assistant directors of college scouting,assistant directors of college scouting,Scouting & Personnel,Assistant Director - College Scouting,,,Both
Asst. Director of College Scouting,assistant. director of college scouting,Scouting & Personnel,Assistant Director - College Scouting,,,Both
Assistant director of player personnel,assistant director of player personnel,Scouting & Personnel,Assistant Director - Player Personnel,,,Both
Assistant Director of Player Personnel,assistant director of player personnel,Scouting & Personnel,Assistant Director - Player Personnel,,,Both
Assistant director of Player Personnel,assistant director of player personnel,Scouting & Personnel,Assistant Director - Player Personnel,,,Both
Assistant Director of Player Personnel / Pro Scout,assistant director of player personnel / pro scout,Scouting & Personnel,Assistant Director - Player Personnel,,,Both
Assistant Director Player Personnel,assistant director player personnel,Scouting & Personnel,Assistant Director - Player Personnel,,,Both
Assistant directors of player personnel,assistant directors of player personnel,Scouting & Personnel,Assistant Director - Player Personnel,,,Both
Assistant player personnel director,assistant player personnel director,Scouting & Personnel,Assistant Director - Player Personnel,,,Both
Assistant director of player scouting,assistant director of player scouting,Scouting & Personnel,Assistant Director - Player Scouting,,,Both
Assistant director of pro personnel,assistant director of pro personnel,Scouting & Personnel,Assistant Director - Pro Personnel,,,Both
Assistant Director of pro personnel,assistant director of pro personnel,Scouting & Personnel,Assistant Director - Pro Personnel,,,Both
Associate director of pro personnel,assistant director of pro personnel,Scouting & Personnel,Assistant Director - Pro Personnel,,,Both
Assistant Director of Pro Personnel,assistant director of pro personnel,Scouting & Personnel,Assistant Director - Pro Personnel,,,Both
Assistant Director of Pro Scouting,assistant director of pro scouting,Scouting & Personnel,Assistant Director - Pro Personnel,,,Both
Assistant director of pro scouting,assistant director of pro scouting,Scouting & Personnel,Assistant Director - Pro Personnel,,,Both
Assistant Director of pro scouting,assistant director of pro scouting,Scouting & Personnel,Assistant Director - Pro Personnel,,,Both
Associate director of pro scouting,assistant director of pro scouting,Scouting & Personnel,Assistant Director - Pro Personnel,,,Both
Assistant director of pro scouting/free agency,assistant director of pro scouting/free agency,Scouting & Personnel,Assistant Director - Pro Personnel,,,Both
Assistant director of pro scouting/team advances,assistant director of pro scouting/team advances,Scouting & Personnel,Assistant Director - Pro Personnel,,,Both
"Assistant director, pro scouting","assistant director, pro scouting",Scouting & Personnel,Assistant Director - Pro Personnel,,,Both
Co–Assistant director of pro personnel,co-assistant director of pro personnel,Scouting & Personnel,Assistant Director - Pro Personnel,,,Both
Senior assistant director of pro personnel,senior assistant director of pro personnel,Scouting & Personnel,Assistant Director - Pro Personnel,,,Both
Senior personnel executive/assistant director of pro scouting,senior personnel executive/assistant director of pro scouting,Scouting & Personnel,Assistant Director - Pro Personnel,,,Both
VP/Assistant Director of College and Pro Scouting,vp/assistant director of college and pro scouting,Scouting & Personnel,Assistant Director - Pro Personnel,,,Both
BLESTO College Scout,blesto college scout,Scouting & Personnel,College Scout,,,Both
BLESTO Scout,blesto scout,Scouting & Personnel,College Scout,,,Both
Blesto scout,blesto scout,Scouting & Personnel,College Scout,,,Both
College scout,college scout,Scouting & Personnel,College Scout,,,Both
College Scout,college scout,Scouting & Personnel,College Scout,,,Both
College scouting,college scouting,Scouting & Personnel,College Scout,,,Both
College scouting consultant,college scouting consultant,Scouting & Personnel,College Scout,,,Both
College Scouting Consultant,college scouting consultant,Scouting & Personnel,College Scout,,,Both
College scouts,college scouts,Scouting & Personnel,College Scout,,,Both
College talent scout,college talent scout,Scouting & Personnel,College Scout,,,Both
College Talent Scout,college talent scout,Scouting & Personnel,College Scout,,,Both
College/pro scout,college/pro scout,Scouting & Personnel,College Scout,,,Both
College/Pro Scout,college/pro scout,Scouting & Personnel,College Scout,,,Both
National supervisor of college scouting,national supervisor of college scouting,Scouting & Personnel,College Scout,,,Both
Pro/college scout,pro/college scout,Scouting & Personnel,College Scout,,,Both
Senior assistant college scouting,senior assistant college scouting,Scouting & Personnel,College Scout,,,Both
"Senior assistant, college scouting","senior assistant, college scouting",Scouting & Personnel,College Scout,,,Both
Senior personnel executive & deputy chief of college scouting staff,senior personnel executive & deputy chief of college scouting staff,Scouting & Personnel,College Scout,,,Both
